Carat(Weight),Cut(Quality),Color,Clarity,Depth,Table,X(length),Y(width),Z(Depth),Price $
0.8,Very Good,F,SI1,63.4,57,5.89,5.82,3.71,2851
0.72,Ideal,F,VS2,62,56,5.77,5.75,3.57,2943
0.32,Ideal,F,VS2,62.4,54,4.4,4.38,2.74,828
0.32,Premium,J,VS2,61.9,58,4.38,4.35,2.7,504
0.7,Premium,F,VS2,61.6,60,5.65,5.59,3.46,2762
0.33,Ideal,G,IF,61.7,55,4.45,4.47,2.75,984
2.02,Very Good,F,SI1,62.7,59,7.97,8.03,5.02,17530
1.11,Premium,G,SI2,61.2,59,6.74,6.66,4.1,4755
1.05,Ideal,G,VS1,61,56,6.62,6.56,4.02,7526
0.77,Very Good,F,VS2,62.6,55,5.85,5.88,3.67,3692
0.26,Very Good,D,VVS2,60.4,59,4.15,4.19,2.52,597
0.43,Ideal,G,IF,61.9,53,4.87,4.88,3.02,1318
0.67,Ideal,G,SI1,60.4,57,5.67,5.65,3.42,1662
1.01,Good,F,VVS1,63.2,56,6.33,6.39,4.02,9012
2.25,Premium,I,SI2,61.9,59,8.42,8.35,5.19,11114
1.11,Premium,H,SI1,58.8,59,6.79,6.74,3.98,5439
1.16,Ideal,G,SI1,60.9,57,6.79,6.75,4.12,5519
0.36,Very Good,H,VS1,60.8,59,4.59,4.62,2.8,631
1.7,Premium,I,SI1,61.6,56,7.65,7.55,4.68,8044
1.13,Premium,E,SI2,61.4,59,6.78,6.7,4.14,4936
0.33,Ideal,F,VS2,62.3,56,4.43,4.46,2.77,666
1.5,Premium,J,VVS1,62.3,62,7.23,7.16,4.48,8568
0.3,Ideal,G,IF,61.5,56,4.32,4.36,2.67,863
1.71,Ideal,H,VS2,63,57,7.57,7.53,4.76,10534
0.51,Ideal,G,VVS2,62,57,5.11,5.15,3.18,1877
0.71,Premium,G,SI1,58.5,58,5.87,5.82,3.42,2215
0.3,Very Good,D,VVS2,59.6,61,4.39,4.34,2.6,880
0.44,Premium,H,SI2,58.4,60,5.05,4.99,2.93,759
0.9,Very Good,J,VVS1,60.4,60,6.23,6.28,3.78,3746
1.71,Premium,I,SI2,59,60,7.86,7.83,4.63,8366
2.01,Fair,J,VS1,66.6,54,,7.92,5.22,14402
0.7,Ideal,,SI1,61.2,58,,5.77,3.52,2138
0.71,Ideal,,SI2,62.1,57,,5.76,,2122
0.34,Premium,,SI1,59.2,61,,4.57,2.71,574
0.31,Ideal,,SI1,62.4,57,4.31,4.34,2.7,544
0.58,Ideal,F,SI1,59.9,56,5.41,5.47,3.26,1442
0.59,Ideal,F,VVS2,62.1,57,5.37,5.38,3.34,2551
0.23,Very Good,E,VVS2,61.6,60,3.97,3.99,2.45,505
1.2,Very Good,H,SI2,61.9,57,6.78,6.85,4.22,5016
0.4,Premium,F,VS1,61.4,58,4.75,4.73,2.91,1050
0.36,Premium,F,VS2,62,59,4.56,4.51,2.81,807
0.95,Premium,G,SI2,59.8,60,6.36,6.34,3.8,3181
0.56,Ideal,H,VVS1,61.7,55,5.3,5.33,3.28,1941
0.5,Ideal,E,VS2,61.6,55,5.14,5.09,3.15,1746
0.71,Ideal,E,SI1,62,56,5.77,5.72,3.56,2329
1.08,Premium,F,VS2,62.1,59,6.59,6.54,4.08,7637
1.06,Premium,E,SI1,63,56,6.54,6.45,4.09,4689
0.39,Ideal,G,IF,61.4,54,4.71,4.73,2.9,1200
1.2,Premium,G,I1,60.3,58,6.82,6.77,4.1,3091
2.38,Very Good,J,VS2,62.6,59,8.49,8.52,5.32,16126
0.32,Very Good,E,VS2,60.5,58,4.4,4.42,2.67,561
0.64,Premium,D,VS2,60.9,59,5.6,5.63,3.42,2243
2.01,Premium,J,SI2,62.4,59,8.05,8.1,5.04,12105
1,Very Good,F,VVS2,61.1,55,6.49,6.51,3.97,8227
0.31,Ideal,D,VVS2,61.6,56,4.34,4.38,2.69,766
0.61,Premium,I,VS2,61.8,56,5.44,5.41,3.35,1438
0.57,Ideal,I,VS2,61.6,54,5.35,5.4,3.31,1258
0.29,Ideal,E,VVS1,62.7,55,4.22,4.2,2.64,858
1.01,Good,F,VS1,64,56,6.37,6.32,4.06,5786
0.31,Ideal,D,VVS2,60.9,57,4.42,4.38,2.68,997
0.9,Premium,I,VS2,61.9,59,6.2,6.14,3.82,2857
0.5,Very Good,F,SI1,61.4,57,5.08,5.12,3.13,1295
1,Premium,F,SI1,62.3,59,6.37,6.43,3.99,5197
0.27,Very Good,E,IF,59.7,56,4.26,4.28,2.55,760
0.54,Very Good,D,VVS2,62.1,55,5.21,5.26,3.25,2318
1.01,Very Good,I,SI2,63.5,57,6.35,6.37,4.04,4244
0.51,Premium,E,VS1,62.3,56,5.14,5.13,3.2,1837
1.5,Fair,H,I1,68.9,56,7,6.9,4.79,5292
0.43,Good,D,SI2,63.4,57,4.78,4.81,3.04,669
1.71,Ideal,H,SI1,61.8,57,7.74,7.69,4.76,13477
1.2,Very Good,I,SI2,63.7,56,6.66,6.71,4.26,5490
0.32,Ideal,I,VVS2,61.5,56,4.4,4.42,2.71,561
0.36,Ideal,F,SI1,61.5,56,4.59,4.62,,600
0.27,Ideal,E,VVS2,62.1,57,4.15,4.13,2.57,799
0.34,Ideal,G,IF,62.2,53,4.49,4.52,2.8,974
0.7,Very Good,G,VS1,61.7,59,5.66,5.69,3.5,2676
1.26,Ideal,G,VVS1,62.1,57,7.01,6.91,4.32,10916
0.37,Ideal,G,VS2,61.5,56,4.59,4.64,2.84,649
0.55,Premium,G,SI1,60.2,59,5.32,5.28,3.19,1848
0.3,Very Good,H,SI1,59.4,63,4.4,4.35,2.6,540
1.51,Very Good,F,SI2,62.7,60,7.25,7.32,4.57,8581
0.28,Ideal,F,VVS2,62.5,57,4.18,4.21,2.62,642
0.25,Very Good,D,VVS2,62.1,57,4.02,4.07,2.51,548
1.28,Good,H,SI2,63.6,56,6.92,6.78,4.37,5018
0.51,Good,E,VS2,63.8,57,5.07,5.05,3.23,1662
0.71,Ideal,I,VVS2,60.6,57,5.73,5.78,3.49,2463
0.5,Very Good,G,VS1,61,58,5.08,5.15,3.12,1694
0.75,Ideal,F,VS2,,57,5.78,5.83,3.63,2893
0.82,Ideal,H,VS2,,56,6.01,6.08,3.72,2804
1.27,Premium,I,VS2,,59,6.95,6.86,4.32,
0.52,Ideal,G,VS1,61.2,56,5.19,5.23,3.19,
2.1,Premium,I,SI1,61.5,57,8.25,8.21,5.06,
1.01,Good,E,SI2,63.9,58,6.31,6.37,4.05,3546
0.34,Ideal,H,SI1,61.5,55,4.53,4.55,2.79,647
0.31,Ideal,E,VS1,61.6,56,4.38,4.35,2.69,942
1.51,Ideal,G,SI2,61.2,56.1,7.39,7.41,4.53,9104
0.52,Ideal,F,VS2,61.1,56,5.19,5.23,3.18,1625
0.7,Ideal,F,SI1,61.5,57,5.67,5.74,3.51,2528
1.02,Premium,G,VS1,60.8,58,6.52,6.47,3.95,6505
0.73,Ideal,D,VS1,61.5,58,5.76,5.79,3.55,4196
0.31,Ideal,G,VVS1,60.7,57,4.4,4.37,2.66,1046
1,Fair,H,SI1,55.2,64,6.69,6.64,3.68,3830
1.01,Premium,F,SI1,62.2,59,6.44,6.35,3.98,4418
0.31,Ideal,D,VS2,61.8,55,4.33,4.37,2.69,734
0.7,Premium,E,VS1,62.9,60,5.62,5.54,3.51,2782
1.06,Premium,I,VS1,61.2,57.1,6.56,6.59,4.03,5550
1.02,Premium,F,SI2,62.5,57,6.47,6.43,4.03,4570
0.3,Very Good,G,VS1,62.2,59,4.24,4.28,2.65,605
0.76,Ideal,G,SI1,61.2,57,5.85,5.9,3.59,3212
0.3,Ideal,F,SI1,61.9,56,4.3,4.32,2.67,475
0.91,Very Good,E,SI1,60.5,61,6.19,6.23,3.76,4211
0.5,Premium,G,VS2,61.5,57,5.12,5.09,,1415
1.51,Ideal,I,VS2,61.6,54,7.38,7.42,4.57,9891
0.53,Ideal,E,VS2,60.7,57,5.27,5.3,3.2,1743
0.78,Ideal,G,SI2,61.9,55,5.91,5.94,3.67,2240
2.3,Premium,J,SI2,59.7,58,8.63,8.68,5.17,13560
0.51,Premium,D,VVS2,60.8,60,5.23,5.14,3.15,2387
0.54,Premium,D,VS1,61.1,58,5.3,5.24,3.22,2100
0.91,Very Good,J,SI1,62.8,59,6.14,6.19,3.87,2956
0.74,Ideal,D,SI2,62.2,57,5.78,5.82,3.61,2690
1.06,Ideal,G,VVS2,60.1,57,6.61,6.66,3.99,8626
0.9,Good,E,SI2,63.4,60,6.02,6.07,3.83,3401
1.21,Very Good,J,,63,57,6.73,6.77,4.25,4691
0.53,Ideal,I,VS1,62.3,56,5.19,5.23,3.24,1427
1.01,Premium,G,SI2,62.1,61,6.38,6.27,3.93,4038
0.23,Ideal,G,IF,61.7,55,3.94,3.98,2.44,536
0.73,Very Good,G,VS1,62.4,58.1,5.71,5.75,3.58,2999
0.77,Good,H,SI1,57.2,65,6.08,6.02,3.46,2457
0.73,Ideal,E,SI1,60.6,54,5.84,5.89,3.55,2803
0.35,Premium,F,VS2,62,59,4.51,4.55,2.81,706
0.82,Ideal,H,SI1,62.5,57,5.91,5.97,3.71,2832
0.3,Premium,G,SI1,62.6,57,4.34,4.25,2.69,574
0.3,Very Good,G,VVS2,61.3,57,4.29,4.33,2.64,684
0.31,Premium,F,VS2,62.7,59,4.34,4.3,2.71,802
1.5,Good,G,SI1,63.7,59,7.23,7.19,4.59,10618
0.55,Ideal,H,IF,62.3,54,5.25,5.28,3.28,1905
1.03,Ideal,F,,61.3,56,6.53,6.55,4.01,11365
0.71,Very Good,H,SI1,63.5,57,5.67,5.63,3.59,2207
1.21,Premium,E,VS1,60.8,59,6.86,6.82,4.16,9541
0.41,Good,D,VS2,63.4,54,4.74,4.79,3.02,873
0.32,Ideal,G,VVS2,61.4,55,4.4,4.43,2.71,730
1.23,Ideal,H,VS2,62.3,56,6.86,6.79,4.25,7260
1.41,Premium,F,SI2,62.7,56,7.21,7.15,,7817
0.38,Ideal,G,VVS2,62.3,53.6,4.65,4.67,2.9,929
0.23,Very Good,F,VVS2,62.9,57,3.9,3.95,2.47,505
1.25,Premium,H,VS1,62,59,6.88,6.84,4.25,8099
0.3,Very Good,F,SI1,63.5,59,4.22,4.19,2.67,641
